"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"KING, PETER","R","NY02",4950,0,"$252",0,252,4950,222,"House","New York",167473,-145700,3.7,772,4.4,900
"TAYLOR, NICHOLAS","R","TX03",3000,1703,"$0",0,0,4703,224,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"ARMSTRONG, KELLY","R","ND01",3000,1522,"$0",0,0,4522,225,"House","North Dakota",39827,0,13.2,103,11.9,90
"ROSE, JOHN","R","TN06",2000,2305,"$0",0,0,4305,226,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"DAVIDSON, WARREN","R","OH08",3000,1184,"$0",0,0,4184,227,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"STEUBE, WILLIAM","R","FL17",4000,175,"$0",0,0,4175,228,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"CLYBURN, JAMES","D","SC06",4950,0,"$388",463,0,4099,229,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"CLOUD, MICHAEL","R","TX27",3000,1025,"$0",0,0,4025,230,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"GREEN, MARK","R","TN07",2000,2016,"$0",0,0,4016,231,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"JOYCE, JOHN","R","PA13",2000,1718,"$0",0,0,3718,232,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"GAETZ, MATTHEW","R","FL01",3500,198,"$0",0,0,3698,233,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"LUJAN, BEN","D","NM03",3500,0,"$0",0,0,3500,234,"House","New Mexico",3500,-82256,18.5,394,18.1,383
"KELLER, FRED","R","PA12",3500,0,"$0",0,0,3500,234,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"BROOKS, SUSAN","R","IN05",3000,0,"$0",0,0,3000,236,"House","Indiana",4245190,-864,15.3,1016,15,997
"KELLY, TRENT","R","MS01",3000,0,"$0",0,0,3000,236,"House","Mississippi",228109,-640,21.5,632,19.9,587
"HERN, KEVIN","R","OK01",3000,0,"$0",0,0,3000,236,"House","Oklahoma",205293,-5904,17.2,681,19.6,766
"DEFAZIO, PETER","D","OR04",3000,0,"$0",0,0,3000,236,"House","Oregon",59633,-112595,12.1,528,11.9,513
"MEUSER, DAN","R","PA09",3000,0,"$0",0,0,3000,236,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"WRIGHT, RON","R","TX06",2000,986,"$0",0,0,2986,241,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"BURCHETT, TIMOTHY","R","TN02",1000,1845,"$0",0,0,2845,242,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"ROY, CHARLES","R","TX21",1000,1560,"$0",0,0,2560,243,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"ALLEN, RICK","R","GA12",6000,114,"$0",3753,0,2361,244,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"TIMMONS, WILLIAM","R","SC04",2000,124,"$0",0,0,2124,245,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"ROE, PHIL","R","TN01",0,2115,"$0",0,0,2115,246,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"WOODALL, ROB","R","GA07",2000,106,"$0",0,0,2106,247,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"FULCHER, RUSSELL","R","ID01",2000,0,"$0",0,0,2000,248,"House","Idaho",465098,0,16.4,280,14.6,242
"MASSIE, THOMAS","R","KY04",2000,0,"$0",0,0,2000,248,"House","Kentucky",1504727,-4018,16.2,730,17.5,772
"CRENSHAW, DANIEL","R","TX02",1000,891,"$0",0,0,1891,250,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"HIGGINS, CLAY","R","LA03",6500,0,"$0",5165,0,1335,251,"House","Louisiana",3142993,-12536,21.7,1008,21.3,987
"RUTHERFORD, JOHN","R","FL04",1000,172,"$0",0,0,1172,252,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"GONZALEZ, ANTHONY","R","OH16",0,1130,"$0",0,0,1130,253,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"AMASH, JUSTIN","I","MI03",1000,0,"$0",0,0,1000,254,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"MURPHY, GREGORY","R","NC03",1000,0,"$0",0,0,1000,254,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"WELCH, PETER","D","VT01",1000,0,"$0",0,0,1000,254,"House","Vermont",8476,0,11.7,70,11.1,78
"LYNCH, STEPHEN","D","MA08",0,0,"$0",0,555,555,257,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"SANDERS, BERNIE","D","VTS1",0,238,"$0",0,238,476,258,"Senate","Vermont",8476,0,11.7,70,11.1,78
"COOPER, JAMES","D","TN05",0,201,"$0",0,0,201,259,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"ROONEY, FRANCIS","R","FL19",0,130,"$0",0,0,130,260,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"SMITH, ADAM","D","WA09",0,518,"$0",496,0,22,261,"House","Washington",152540,-1001968,11.1,849,9,686
"HARRIS, KAMALA","D","CAS1",0,0,"$0",0,0,0,262,"Senate","California",214295,-285808,7.9,3184,7.9,3184
"SCOTT, RICK","R","FLS1",0,0,"$0",0,0,0,262,"Senate","Florida",3542202,-111412,12.4,2724,12.6,2704
"LOEFFLER, KELLY","R","GAS2",0,0,"$0",0,0,0,262,"Senate","Georgia",2144458,-1635,15.4,1623,15,1571
"VAN HOLLEN, CHRISTOPHER","D","MDS2",0,0,"$0",0,0,0,262,"Senate","Maryland",27447,-6614,12.3,742,11.9,707
"WYDEN, RONALD","D","ORS2",0,0,"$0",0,0,0,262,"Senate","Oregon",59633,-112595,12.1,528,11.9,513
"WHITEHOUSE, SHELDON","D","RIS1",0,0,"$0",0,0,0,262,"Senate","Rhode Island",0,-1350,3.9,43,4.1,49
"REED, JACK","D","RIS2",0,0,"$0",0,0,0,262,"Senate","Rhode Island",0,-1350,3.9,43,4.1,49
"GALLEGO, RUBEN","D","AZ07",0,0,"$0",0,0,0,262,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"STANTON, GREG","D","AZ09",0,0,"$0",0,0,0,262,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"HUFFMAN, JARED","D","CA02",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"MATSUI, DORIS","D","CA06",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"DESAULNIER, MARK","D","CA11",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"SPEIER, JACKIE","D","CA14",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"SWALWELL, ERIC","D","CA15",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"KHANNA, RO","D","CA17",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"PANETTA, JAMES","D","CA20",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"CHU, JUDY","D","CA27",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"CARDENAS, TONY","D","CA29",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"LIEU, TED","D","CA33",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"GOMEZ, JIMMY","D","CA34",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"TORRES, NORMA","D","CA35",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"BASS, KAREN","D","CA37",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"SANCHEZ, LINDA","D","CA38",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"BARRAGAN, NANETTE","D","CA44",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"CORREA, LOU","D","CA46",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"VARGAS, JUAN","D","CA51",0,0,"$0",0,0,0,262,"House","California",214295,-285808,7.9,3184,7.9,3184
"DEGETTE, DIANA","D","CO01",0,0,"$0",0,0,0,262,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"NEGUSE, JOSEPH","D","CO02",0,0,"$0",0,0,0,262,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"HIMES, JAMES","D","CT04",0,0,"$0",0,0,0,262,"House","Connecticut",0,-181011,5.1,188,4.6,172
"HAYES, JAHANA","D","CT05",0,0,"$0",0,0,0,262,"House","Connecticut",0,-181011,5.1,188,4.6,172
"BLUNT-ROCHESTER, LISA","D","DE01",0,0,"$0",0,0,0,262,"House","Delaware",0,-97616,11.7,111,11,111
"SOTO, DARREN","D","FL09",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"CASTOR, KATHY","D","FL14",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"DEUTCH, TED","D","FL22",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"SCHULTZ, DEBBIE","D","FL23",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"WILSON, FREDERICA","D","FL24",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"MUCARSEL-POWELL, DEBBIE","D","FL26",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"SHALALA, DONNA","D","FL27",0,0,"$0",0,0,0,262,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"CASE, ED","D","HI01",0,0,"$0",0,0,0,262,"House","Hawaii",0,-743,2.5,39,4.5,66
"GARCIA, JESUS","D","IL04",0,0,"$0",0,0,0,262,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"CASTEN, SEAN","D","IL06",0,0,"$0",0,0,0,262,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"KRISHNAMOORTHI, RAJA","D","IL08",0,0,"$0",0,0,0,262,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"CARSON, ANDRE","D","IN07",0,0,"$0",0,0,0,262,"House","Indiana",4245190,-864,15.3,1016,15,997
"RICHMOND, CEDRIC","D","LA02",0,0,"$0",0,0,0,262,"House","Louisiana",3142993,-12536,21.7,1008,21.3,987
"TRAHAN, LORI","D","MA03",0,0,"$0",0,0,0,262,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"KENNEDY, JOSEPH","D","MA04",0,0,"$0",0,0,0,262,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"CLARK, KATHERINE","D","MA05",0,0,"$0",0,0,0,262,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"MOULTON, SETH","D","MA06",0,0,"$0",0,0,0,262,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"PRESSLEY, AYANNA","D","MA07",0,0,"$0",0,0,0,262,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"SARBANES, JOHN","D","MD03",0,0,"$0",0,0,0,262,"House","Maryland",27447,-6614,12.3,742,11.9,707
"BROWN, ANTHONY","D","MD04",0,0,"$0",0,0,0,262,"House","Maryland",27447,-6614,12.3,742,11.9,707
"TRONE, DAVID","D","MD06",0,0,"$0",0,0,0,262,"House","Maryland",27447,-6614,12.3,742,11.9,707
"RASKIN, JAMIE","D","MD08",0,0,"$0",0,0,0,262,"House","Maryland",27447,-6614,12.3,742,11.9,707
"KILDEE, DAN","D","MI05",0,0,"$0",0,0,0,262,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"LEVIN, ANDY","D","MI09",0,0,"$0",0,0,0,262,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"DINGELL, DEBBIE","D","MI12",0,0,"$0",0,0,0,262,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"TLAIB, RASHIDA","D","MI13",0,0,"$0",0,0,0,262,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"LAWRENCE, BRENDA","D","MI14",0,0,"$0",0,0,0,262,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"OMAR, ILHAN","D","MN05",0,0,"$0",0,0,0,262,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"GUEST, MICHAEL","R","MS03",0,0,"$0",0,0,0,262,"House","Mississippi",228109,-640,21.5,632,19.9,587
"BUTTERFIELD, G.K.","D","NC01",0,0,"$0",0,0,0,262,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"ADAMS, ALMA","D","NC12",0,0,"$0",0,0,0,262,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"NORCROSS, DONALD","D","NJ01",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"VAN DREW, JEFFERSON","R","NJ02",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"SMITH, CHRISTOPHER","R","NJ04",0,0,"$256",0,256,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"MALINOWSKI, TOMAZ","D","NJ07",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"SIRES, ALBIO","D","NJ08",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"PAYNE, DONALD","D","NJ10",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"WATSON-COLEMAN, BONNIE","D","NJ12",0,0,"$0",0,0,0,262,"House","New Jersey",0,-73405,5.3,478,5.5,485
"HAALAND, DEBRA","D","NM01",0,0,"$0",0,0,0,262,"House","New Mexico",3500,-82256,18.5,394,18.1,383
"LEE, SUSIE","D","NV03",0,0,"$0",0,0,0,262,"House","Nevada",22682,-2712765,16.7,508,16.8,498
"SUOZZI, THOMAS","D","NY03",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"RICE, KATHLEEN","D","NY04",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"MENG, GRACE","D","NY06",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"JEFFRIES, HAKEEM","D","NY08",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"CLARKE, YVETTE","D","NY09",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"ROSE, MAX","D","NY11",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"ESPAILLAT, ADRIANO","D","NY13",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"OCASIO-CORTEZ, ALEXANDRIA","D","NY14",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"MALONEY, SEAN","D","NY18",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"TONKO, PAUL","D","NY20",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"MORELLE, JOSEPH","D","NY25",0,0,"$0",0,0,0,262,"House","New York",167473,-145700,3.7,772,4.4,900
"BEATTY, JOYCE","D","OH03",0,0,"$0",0,0,0,262,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"FUDGE, MARCIA","D","OH11",0,0,"$0",0,0,0,262,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"BLUMENAUER, EARL","D","OR03",0,0,"$0",0,0,0,262,"House","Oregon",59633,-112595,12.1,528,11.9,513
"FITZPATRICK, BRIAN","R","PA01",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"BOYLE, BRENDAN","D","PA02",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"EVANS, DWIGHT","D","PA03",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"DEAN, MADELEINE","D","PA04",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"SCANLON, MARY","D","PA05",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"HOULAHAN, CHRISTINA","D","PA06",0,0,"$0",0,0,0,262,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"COHEN, STEPHEN","D","TN09",0,0,"$0",0,0,0,262,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"GREEN, AL","D","TX09",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"GONZALEZ, VICENTE","D","TX15",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"ESCOBAR, VERONICA","D","TX16",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"CASTRO, JOAQUIN","D","TX20",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"GARCIA, SYLVIA","D","TX29",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"VEASEY, MARC","D","TX33",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"VELA, FILEMON","D","TX34",0,0,"$0",0,0,0,262,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"MCEACHIN, DONALD","D","VA04",0,0,"$0",0,0,0,262,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"BEYER, DONALD","D","VA08",0,0,"$0",0,0,0,262,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"JAYAPAL, PRAMILA","D","WA07",0,0,"$0",0,0,0,262,"House","Washington",152540,-1001968,11.1,849,9,686
"POCAN, MARK","D","WI02",0,0,"$0",0,0,0,262,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"MOORE, GWEN","D","WI04",0,0,"$0",0,0,0,262,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"KELLY, ROBIN","D","IL02",0,0,"$0",10,0,-10,366,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"LIPINSKI, DANIEL","D","IL03",0,0,"$0",20,0,-20,367,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"QUIGLEY, MIKE","D","IL05",0,0,"$0",20,0,-20,367,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"SCHNEIDER, BRAD","D","IL10",0,0,"$0",20,0,-20,367,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"SCOTT, DAVID","D","GA13",0,0,"$65",0,0,-65,370,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"SEWELL, TERRI","D","AL07",0,0,"$71",0,0,-71,371,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"CLEAVER, EMANUEL","D","MO05",0,0,"$71",0,0,-71,371,"House","Missouri",6143256,-933,21.5,1307,19,1144
"SHERRILL, MIKIE","D","NJ11",0,63,"$0",197,0,-134,373,"House","New Jersey",0,-73405,5.3,478,5.5,485
"STEVENS, HALEY","D","MI11",0,0,"$0",158,0,-158,374,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"HIRONO, MAZIE","D","HIS2",0,0,"$0",171,0,-171,375,"Senate","Hawaii",0,-743,2.5,39,4.5,66
"MEEKS, GREGORY","D","NY05",0,0,"$252",0,0,-252,376,"House","New York",167473,-145700,3.7,772,4.4,900
"RUPPERSBERGER, DUTCH","D","MD02",0,0,"$0",259,0,-259,377,"House","Maryland",27447,-6614,12.3,742,11.9,707
"FEINSTEIN, DIANNE","D","CAS2",0,0,"$278",0,0,-278,378,"Senate","California",214295,-285808,7.9,3184,7.9,3184
"LANGEVIN, JAMES","D","RI02",0,0,"$140",140,0,-280,379,"House","Rhode Island",0,-1350,3.9,43,4.1,49
"SCHATZ, BRIAN","D","HIS1",0,0,"$143",143,0,-286,380,"Senate","Hawaii",0,-743,2.5,39,4.5,66
"GABBARD, TULSI","D","HI02",0,0,"$143",143,0,-286,380,"House","Hawaii",0,-743,2.5,39,4.5,66
"DELAURO, ROSA","D","CT03",0,0,"$326",0,0,-326,382,"House","Connecticut",0,-181011,5.1,188,4.6,172
"RUSH, BOBBY","D","IL01",0,0,"$328",0,0,-328,383,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"BONAMICI, SUZANNE","D","OR01",0,0,"$188",188,0,-376,384,"House","Oregon",59633,-112595,12.1,528,11.9,513
"JOHNSON, EDDIE","D","TX30",0,0,"$414",0,0,-414,385,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"MARKEY, EDWARD","D","MAS2",0,0,"$442",0,0,-442,386,"Senate","Massachusetts",555,-41739,3.7,262,3.4,242
"NEAL, RICHARD","D","MA01",0,0,"$442",0,0,-442,386,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"MCGOVERN, JAMES","D","MA02",0,0,"$442",0,0,-442,386,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"DOGGETT, LLOYD","D","TX35",0,0,"$414",64,0,-478,389,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"SCOTT, ROBERT","D","VA03",0,0,"$495",0,0,-495,390,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"VELAZQUEZ, NYDIA","D","NY07",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"NADLER, JERROLD","D","NY10",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"MALONEY, CAROLYN","D","NY12",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"SERRANO, JOSE","D","NY15",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"ENGEL, ELIOT","D","NY16",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"LOWEY, NITA","D","NY17",0,0,"$252",252,0,-504,391,"House","New York",167473,-145700,3.7,772,4.4,900
"MENENDEZ, ROBERT","D","NJS1",0,0,"$256",256,0,-512,397,"Senate","New Jersey",0,-73405,5.3,478,5.5,485
"PASCRELL, WILLIAM","D","NJ09",0,0,"$256",256,0,-512,397,"House","New Jersey",0,-73405,5.3,478,5.5,485
"COX, TJ","D","CA21",0,0,"$260",260,0,-520,399,"House","California",214295,-285808,7.9,3184,7.9,3184
"PELOSI, NANCY","D","CA12",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"LEE, BARBARA","D","CA13",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"ESHOO, ANNA","D","CA18",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"LOFGREN, ZOE","D","CA19",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"SHERMAN, BRAD","D","CA30",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"NAPOLITANO, GRACE","D","CA32",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"ROYBAL-ALLARD, LUCILLE","D","CA40",0,0,"$278",278,0,-556,400,"House","California",214295,-285808,7.9,3184,7.9,3184
"WATERS, MAXINE","D","CA43",0,0,"$278",293,0,-571,407,"House","California",214295,-285808,7.9,3184,7.9,3184
"HOYER, STENY","D","MD05",0,0,"$315",315,0,-630,408,"House","Maryland",27447,-6614,12.3,742,11.9,707
"THOMPSON, BENNIE","D","MS02",0,0,"$320",320,0,-640,409,"House","Mississippi",228109,-640,21.5,632,19.9,587
"LARSON, JOHN","D","CT01",0,0,"$326",326,0,-652,410,"House","Connecticut",0,-181011,5.1,188,4.6,172
"DAVIS, DANNY","D","IL07",0,0,"$328",328,0,-656,411,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"SCHAKOWSKY, JANICE","D","IL09",0,0,"$328",328,0,-656,411,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"THOMPSON, MICHAEL","D","CA05",4000,0,"$4,413",278,0,-691,413,"House","California",214295,-285808,7.9,3184,7.9,3184
"TAKANO, MARK","D","CA41",0,0,"$0",719,0,-719,414,"House","California",214295,-285808,7.9,3184,7.9,3184
"JOHNSON, HANK","D","GA04",0,0,"$743",0,0,-743,415,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"LEWIS, JOHN","D","GA05",0,0,"$446",381,0,-827,416,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"JACKSON-LEE, SHEILA","D","TX18",0,0,"$414",414,0,-828,417,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"CLAY, WILLIAM","D","MO01",0,0,"$431",431,0,-862,418,"House","Missouri",6143256,-933,21.5,1307,19,1144
"VISCLOSKY, PETER","D","IN01",0,0,"$432",432,0,-864,419,"House","Indiana",4245190,-864,15.3,1016,15,997
"FRANKEL, LOIS","D","FL21",0,0,"$0",886,0,-886,420,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"KAPTUR, MARCY","D","OH09",0,0,"$443",443,0,-886,420,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"LOWENTHAL, ALAN","D","CA47",0,0,"$0",890,0,-890,422,"House","California",214295,-285808,7.9,3184,7.9,3184
"PRICE, DAVID","D","NC04",0,0,"$449",449,0,-898,423,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"CICILLINE, DAVID","D","RI01",0,0,"$0",1070,0,-1070,424,"House","Rhode Island",0,-1350,3.9,43,4.1,49
"DOYLE, MICHAEL","D","PA18",0,0,"$566",566,0,-1132,425,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"WILD, SUSAN","D","PA07",13,0,"$0",1207,0,-1194,426,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"CARTWRIGHT, MATT","D","PA08",0,0,"$0",1238,0,-1238,427,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"KINZINGER, ADAM","R","IL16",8000,30,"$0",9445,0,-1415,428,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"LEVIN, MIKE","D","CA49",13,0,"$742",857,0,-1586,429,"House","California",214295,-285808,7.9,3184,7.9,3184
"PALLONE, FRANK","D","NJ06",0,0,"$256",1793,256,-1793,430,"House","New Jersey",0,-73405,5.3,478,5.5,485
"HORSFORD, STEVEN","D","NV04",0,0,"$0",1820,0,-1820,431,"House","Nevada",22682,-2712765,16.7,508,16.8,498
"PHILLIPS, DEAN","D","MN03",0,0,"$492",1402,0,-1894,432,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"DAVIS, SUSAN","D","CA53",0,0,"$2,273",0,278,-1995,433,"House","California",214295,-285808,7.9,3184,7.9,3184
"SLOTKIN, ELISSA","D","MI08",0,0,"$952",1131,0,-2083,434,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"DELBENE, SUZAN","D","WA01",0,0,"$0",2113,0,-2113,435,"House","Washington",152540,-1001968,11.1,849,9,686
"CARBAJAL, SALUD","D","CA24",0,0,"$0",2194,0,-2194,436,"House","California",214295,-285808,7.9,3184,7.9,3184
"KILMER, DEREK","D","WA06",0,0,"$0",2706,0,-2706,437,"House","Washington",152540,-1001968,11.1,849,9,686
"ROUDA, HARLEY","D","CA48",0,0,"$1,314",1442,0,-2756,438,"House","California",214295,-285808,7.9,3184,7.9,3184
