"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"MORAN, JERRY","R","KSS2",21850,15368,"$0",0,0,37218,86,"Senate","Kansas",1712474,-13388,16,466,13.4,383
"THORNBERRY, MAC","R","TX13",33450,1897,"$0",0,414,35761,87,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"KELLY, MIKE","R","PA16",12000,23350,"$0",0,0,35350,88,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"BRADY, KEVIN","R","TX08",24500,10403,"$0",0,0,34903,89,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"LAMBORN, DOUGLAS","R","CO05",21950,12838,"$0",0,0,34788,90,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"BACON, DONALD","R","NE02",9450,18838,"$0",0,6333,34621,91,"House","Nebraska",163310,0,8.3,160,9.1,171
"BALDERSON, TROY","R","OH12",5500,15050,"$0",0,13607,34157,92,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"ROGERS, MIKE","R","AL03",35100,374,"$2,248",0,0,33226,93,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"DIAZ-BALART, MARIO","R","FL25",28450,4626,"$0",0,0,33076,94,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"MCBATH, LUCY","D","GA06",0,0,"$5,502",27642,65261,32117,95,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"CUELLAR, HENRY","D","TX28",29300,1994,"$0",73,448,31669,96,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"MAST, BRIAN","R","FL18",4950,26569,"$0",0,0,31519,97,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"MCCAUL, MICHAEL","R","TX10",27000,4087,"$0",0,0,31087,98,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"WITTMAN, ROB","R","VA01",19000,9221,"$0",0,0,28221,99,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"HARRIS, ANDY","R","MD01",23900,3547,"$0",0,0,27447,100,"House","Maryland",27447,-6614,12.3,742,11.9,707
"WALORSKI, JACKIE","R","IN02",12000,15428,"$0",0,0,27428,101,"House","Indiana",4245190,-864,15.3,1016,15,997
"BARRASSO, JOHN","R","WYS1",22849,4140,"$0",0,0,26989,102,"Senate","Wyoming",57661,0,18.8,113,17.4,101
"TURNER, MICHAEL","R","OH10",23995,1796,"$0",0,599,26390,103,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"SENSENBRENNER, JIM","R","WI05",23200,2533,"$0",0,474,26207,104,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"NUNES, DEVIN","R","CA22",24950,340,"$0",0,260,25550,105,"House","California",214295,-285808,7.9,3184,7.9,3184
"HAGEDORN, JIM","R","MN01",5950,10993,"$0",0,8570,25513,106,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"FOXX, VIRGINIA","R","NC05",24900,178,"$0",0,0,25078,107,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"MOONEY, ALEX","R","WV02",9950,14905,"$0",0,0,24855,108,"House","West Virginia",388360,-459700,18.6,348,17.5,332
"RYAN, TIM","D","OH13",19996,8005,"$3,196",0,0,24805,109,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"ENZI, MIKE","R","WYS2",20900,3822,"$0",0,0,24722,110,"Senate","Wyoming",57661,0,18.8,113,17.4,101
"BISHOP, ROB","R","UT01",23900,402,"$0",0,0,24302,111,"House","Utah",13691980,-10956,14,410,12.9,370
"HUDSON, RICHARD","R","NC08",13950,9476,"$0",0,599,24025,112,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"GRANGER, KAY","R","TX12",21950,1670,"$0",0,0,23620,113,"House","Texas",650742,-158009,12.4,3513,12.1,3353
